cia-rdp80t01782r000100270001-7,99,"DISPOSITION OF SOVIET AIR FORCES IN AFGHANISTAN AND IN THE USSR ALONG THE AFGHANISTAN BORDER AREA, AS OF (SANITIZED)",1980-08-01,8,,Defense Intelligence Agency (1); ,Kandahar (2); Kabul (1); Afghanistan (5); Shindand (2); Jalalabad (1); ,Kandahar (2); ,https://www.cia.gov/library/readingroom/document/cia-rdp80t01782r000100270001-7
cia-rdp87m01152r000300280003-1,31,"(SANITIZED)CLAY ROBINSON, A STAFFER FOR SENATOR HUMPHREY (R. VT) (224-8753), WHO IS CHAIRMAN OF A TASK FORCE ON AFGHANISTAN, WAS REFERRED TO ME BY OLL WITH A QUESTION ABOUT COVERAGE IN THE SOUTH ASIA DAILY REPORT OF AFGHANISTAN",1985-09-05,2,,,Afghanistan (1); ,,https://www.cia.gov/library/readingroom/document/cia-rdp87m01152r000300280003-1
cia-rdp92m00732r000700070031-0,91,"IN LIGHT OF RECENT EVENTS IN AFGHANISTAN, WE WOULD LIKE TO MEET WITH YOU TO DISCUSS SPECIFIC CONCERNS WE HAVE ABOUT THE CURRENT SITUATION IN AFGHANISTAN.",1989-07-28,7,,Central Intelligence Agency (1); ,Afghanistan (5); Registan (1); ,,https://www.cia.gov/library/readingroom/document/cia-rdp92m00732r000700070031-0
cia-rdp91b00874r000100250014-0,100,TALKING POINTS AFGHANISTAN AFGHANISTAN:  THE INSURGENCY THIS SUMMER,1986-09-08,3,Ahmad Shah Massoud (1); ,,Takhar (1); Kabul (2); Herat (1); Afghanistan (1); ,Pakistan (1); rockets (1); Small Arms (1); ,https://www.cia.gov/library/readingroom/document/cia-rdp91b00874r000100250014-0
cia-rdp83b01027r000300170042-4,38,SOVIET UNION-AFGHANISTAN: GROUP OF SOVIET FORCES AFGHANISTAN?,1979-12-31,1,,Soviet Union (1); ,Afghanistan (1); ,Mongolia (1); ,https://www.cia.gov/library/readingroom/document/cia-rdp83b01027r000300170042-4
cia-rdp96r01136r003100080030-5,100,DOLLAR COST OF SOVIET MILITARY OPERATIONS IN AFGHANISTAN,1981-06-12,3,,,Afghanistan (11); ,,https://www.cia.gov/library/readingroom/document/cia-rdp96r01136r003100080030-5
cia-rdp96r01136r002605130009-4,100,USSR-AFGHANISTAN:  MORE MEDIA COVERAGE,1984-01-23,1,,,Afghanistan (8); ,Pakistan (1); Iran (1); Egypt (1); ,https://www.cia.gov/library/readingroom/document/cia-rdp96r01136r002605130009-4
cia-rdp85m00363r000501310002-4,100,AFGHANISTAN/USSR:  SOVIET USE OF LETHAL CHEMICALS,1984-03-27,1,,,Herat (1); Afghanistan (3); Jalalabad (1); ,,https://www.cia.gov/library/readingroom/document/cia-rdp85m00363r000501310002-4
cia-rdp82t00709r000200870001-0,100,UPGRADING OF COMMUNICATIONS NETWORK BETWEEN USSR AND AFGHANISTAN,1982-06-01,8,,Defense Intelligence Agency (1); ,Kabul (5); Afghanistan (13); ,Termez (12); ,https://www.cia.gov/library/readingroom/document/cia-rdp82t00709r000200870001-0
cia-rdp83t00574r000102060001-7,0,"HIP H ATTACK HELICOPTERS KABUL INTERNATIONAL AIRFIELD, AFGHANISTAN (SANITIZED)",1982-07-30,3,,,,,https://www.cia.gov/library/readingroom/document/cia-rdp83t00574r000102060001-7
